count,date
98,2015-06-24 00:00:00
68,2015-06-25 00:00:00
53,2015-06-26 00:00:00
31,2015-06-27 00:00:00
18,2015-06-28 00:00:00
97,2015-06-29 00:00:00
144,2015-06-30 00:00:00
176,2015-07-01 00:00:00
138,2015-07-02 00:00:00
105,2015-07-03 00:00:00
38,2015-07-04 00:00:00
60,2015-07-05 00:00:00
85,2015-07-06 00:00:00
127,2015-07-07 00:00:00
176,2015-07-08 00:00:00
92,2015-07-09 00:00:00
108,2015-07-10 00:00:00
25,2015-07-11 00:00:00
49,2015-07-12 00:00:00
90,2015-07-13 00:00:00
90,2015-07-14 00:00:00
101,2015-07-15 00:00:00
88,2015-07-16 00:00:00
45,2015-07-17 00:00:00
36,2015-07-18 00:00:00
25,2015-07-19 00:00:00
62,2015-07-20 00:00:00
110,2015-07-21 00:00:00
119,2015-07-22 00:00:00
